id,battle_type,mode,stage,main_weapon,sub_weapon,special_weapon,headgear,clothing,shoes,result,knockout,rank_in_team,kill,assist,kill_or_assist,death,special,signal,inked,medals,our_team_inked,their_team_inked,third_team_inked,our_team_percent,their_team_percent,third_team_percent,our_team_count,their_team_count,level_before,level_after,rank_before,rank_before_s_plus,rank_before_exp,rank_after,rank_after_s_plus,rank_after_exp,rank_exp_change,rank_up_battle,challenge_win,challenge_lose,x_power_before,x_power_after,fest_power,fest_dragon,clout_before,clout_after,clout_change,cash_before,cash_after,our_team_color,their_team_color,third_team_color,our_team_role,their_team_role,third_team_role,our_team_theme,their_team_theme,third_team_theme,third_team_members,teammate_1_name,teammate_1_rank,teammate_1_main_weapon,teammate_1_sub_weapon,teammate_1_special_weapon,teammate_1_kill,teammate_1_assist,teammate_1_kill_or_assist,teammate_1_death,teammate_1_special,teammate_1_signal,teammate_1_inked,teammate_1_headgear,teammate_1_clothing,teammate_1_shoes,teammate_2_name,teammate_2_rank,teammate_2_main_weapon,teammate_2_sub_weapon,teammate_2_special_weapon,teammate_2_kill,teammate_2_assist,teammate_2_kill_or_assist,teammate_2_death,teammate_2_special,teammate_2_signal,teammate_2_inked,teammate_2_headgear,teammate_2_clothing,teammate_2_shoes,teammate_3_name,teammate_3_rank,teammate_3_main_weapon,teammate_3_sub_weapon,teammate_3_special_weapon,teammate_3_kill,teammate_3_assist,teammate_3_kill_or_assist,teammate_3_death,teammate_3_special,teammate_3_signal,teammate_3_inked,teammate_3_headgear,teammate_3_clothing,teammate_3_shoes,opponent_1_name,opponent_1_rank,opponent_1_main_weapon,opponent_1_sub_weapon,opponent_1_special_weapon,opponent_1_kill,opponent_1_assist,opponent_1_kill_or_assist,opponent_1_death,opponent_1_special,opponent_1_signal,opponent_1_inked,opponent_1_headgear,opponent_1_clothing,opponent_1_shoes,opponent_2_name,opponent_2_rank,opponent_2_main_weapon,opponent_2_sub_weapon,opponent_2_special_weapon,opponent_2_kill,opponent_2_assist,opponent_2_kill_or_assist,opponent_2_death,opponent_2_special,opponent_2_signal,opponent_2_inked,opponent_2_headgear,opponent_2_clothing,opponent_2_shoes,opponent_3_name,opponent_3_rank,opponent_3_main_weapon,opponent_3_sub_weapon,opponent_3_special_weapon,opponent_3_kill,opponent_3_assist,opponent_3_kill_or_assist,opponent_3_death,opponent_3_special,opponent_3_signal,opponent_3_inked,opponent_3_headgear,opponent_3_clothing,opponent_3_shoes,opponent_4_name,opponent_4_rank,opponent_4_main_weapon,opponent_4_sub_weapon,opponent_4_special_weapon,opponent_4_kill,opponent_4_assist,opponent_4_kill_or_assist,opponent_4_death,opponent_4_special,opponent_4_signal,opponent_4_inked,opponent_4_headgear,opponent_4_clothing,opponent_4_shoes,game_version,start_at,end_at
f1e7fb92-7141-40c8-b2ba-6bc6e7c50282,Anarchy Battle (Open),Splat Zones (Open),Sturgeon Shipyard,Splattershot Pro,Angle Shooter,Crab Tank,,,,lose,True,4,0,0,0,4,0,,260,['#1 Damage Taker'],,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,cfb121ff,9025c6ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 21:50:46,2022-09-08 21:52:03
4522004d-d1aa-45f2-b1c6-18ee954e48f4,Anarchy Battle (Open),Splat Zones (Open),Sturgeon Shipyard,Splattershot Pro,Angle Shooter,Crab Tank,,,,win,False,4,8,3,11,9,2,,575,"['#2 Enemy Splatter', '#1 Splat Zone Hero', '#2 Splat Zone Guard']",,,,,,,96,84,,,B-,,,,,,8,,,,,,,,,,,,,cfb121ff,9025c6ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 21:53:44,2022-09-08 21:58:44
1c77c7ee-4e67-44d4-9912-07b0f162cc17,Anarchy Battle (Open),Splat Zones (Open),Sturgeon Shipyard,Splattershot Pro,Angle Shooter,Crab Tank,,,,win,True,2,6,2,8,5,1,,483,"['#1 Super Jump Spot', '#1 Popular Target', 'First Splat!']",,,,,,,100,0,,,B-,,,,,,8,,,,,,,,,,,,,1bbfabff,c43a6eff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 22:00:11,2022-09-08 22:02:49
884431e9-22ac-4afd-a379-061b67cadaae,Anarchy Battle (Open),Splat Zones (Open),Sturgeon Shipyard,Splattershot Pro,Angle Shooter,Crab Tank,,,,lose,True,2,1,0,1,2,1,,254,"['#1 Overall Splatter', '#1 Enemy Splatter', '#1 Popular Target']",,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,cd510aff,6e04b6ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 22:04:20,2022-09-08 22:05:39
550bbe6b-77dc-4922-9f1f-af1b98885da7,Anarchy Battle (Open),Splat Zones (Open),Undertow Spillway,Splattershot Pro,Angle Shooter,Crab Tank,,,,lose,False,4,4,1,5,10,2,,787,"['#1 Popular Target', '#1 Crab Tank User']",,,,,,,35,87,,,B-,,,,,,-2,,,,,,,,,,,,,343bc4ff,df6624ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 22:07:07,2022-09-08 22:12:07
f32d23d0-755d-46fc-935e-e361c0e48b0f,Anarchy Battle (Open),Splat Zones (Open),Undertow Spillway,Splattershot Pro,Angle Shooter,Crab Tank,,,,win,False,4,6,2,8,10,5,,943,"['#2 Popular Target', '#2 Super Jump Spot', '#1 Crab Tank User']",,,,,,,76,74,,,B-,,,,,,8,,,,,,,,,,,,,bfcd41ff,6325cdff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.0,2022-09-08 22:21:45,2022-09-08 22:27:19
32d6141f-8cce-4261-9aa6-98b7c401d9f8,Anarchy Battle (Open),Rainmaker (Open),Eeltail Alley,Splattershot Pro,Angle Shooter,Crab Tank,,,,lose,True,2,1,0,1,3,0,,225,"['#1 Overall Splatter', '#1 Enemy Splatter', '#1 Ground Traveler']",,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,c43a6eff,1bbfabff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.1,2022-09-17 22:01:05,2022-09-17 22:02:22
2a356aae-0cbe-4688-9ce2-4be91d38f1b9,Anarchy Battle (Open),Tower Control (Open),Museum d'Alfonsino,Hero Shot Replica,Suction Bomb,Trizooka,,,,lose,True,3,3,0,3,8,1,,530,"['#1 Enemy Splatter', '#1 Popular Target', '#1 Tower Stopper']",,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,e38d24ff,1a1aafff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.1,2022-09-18 00:18:32,2022-09-18 00:21:41
7f5460bf-37df-4878-a18b-1db16682c08c,Anarchy Battle (Open),Tower Control (Open),Wahoo World,Hero Shot Replica,Suction Bomb,Trizooka,,,,lose,True,2,8,0,8,10,2,,955,"['#1 Popular Target', 'Record-Score Setter', '#1 Score Booster']",,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,df6624ff,343bc4ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.1,2022-09-18 00:23:57,2022-09-18 00:28:20
d87748e6-9594-4495-97e9-d745b09ec0fe,Anarchy Battle (Open),Tower Control (Open),Wahoo World,Splattershot Pro,Angle Shooter,Crab Tank,,,,lose,True,3,1,0,1,3,0,,257,"['#1 Ground Traveler', '#1 Popular Target', '#1 Ink Consumer']",,,,,,,0,100,,,B-,,,,,,-2,,,,,,,,,,,,,c43a6eff,1bbfabff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v1.1.1,2022-09-18 00:32:34,2022-09-18 00:33:54
